rozsah,uroven sumu,funkce,loss,MSE
3.141592653589793,0.2,sqrt,0.003741870168596506,0.0039415371054223065
3.141592653589793,0.2,tan,0.0010967126581817865,0.007699250667468144
3.141592653589793,0.2,exp,6.069498340366408e-05,0.00010115293160207605
3.141592653589793,0.30000000000000004,sqrt,0.009138285182416439,0.008131335882874879
3.141592653589793,0.30000000000000004,tan,0.0004870678239967674,0.007491625749141914
3.141592653589793,0.30000000000000004,exp,0.00012222796794958413,0.00010297852514597975
3.141592653589793,0.4,sqrt,0.014705836772918701,0.013010108932509753
3.141592653589793,0.4,tan,0.0011155217653140426,0.007742963055260334
3.141592653589793,0.4,exp,0.00034646838321350515,0.0002132988171267081
6.283185307179586,0.2,sqrt,0.0020232326351106167,0.0019458207846614832
6.283185307179586,0.2,tan,0.004270399454981089,0.006601573061165234
6.283185307179586,0.2,exp,4.877395895164227e-06,6.124105711002463e-06
6.283185307179586,0.30000000000000004,sqrt,0.0048475670628249645,0.004098315297508849
6.283185307179586,0.30000000000000004,tan,0.004463400691747665,0.006760092812868003
6.283185307179586,0.30000000000000004,exp,1.2421007340890355e-05,1.4962632762362852e-05
6.283185307179586,0.4,sqrt,0.007581045385450125,0.007543465450530616
6.283185307179586,0.4,tan,0.004203575197607279,0.006586616951608874
6.283185307179586,0.4,exp,2.9978914426465053e-06,2.3609396641042177e-06
9.42477796076938,0.2,sqrt,0.0013020650949329138,0.0019161302906075244
9.42477796076938,0.2,tan,0.01425143051892519,0.01884248694603017
9.42477796076938,0.2,exp,9.222979997502989e-07,1.3311037889255902e-06
9.42477796076938,0.30000000000000004,sqrt,0.003848666325211525,0.003284066387118388
9.42477796076938,0.30000000000000004,tan,0.013607842847704887,0.018771746525984775
9.42477796076938,0.30000000000000004,exp,9.291645255871117e-06,6.437833133133543e-06
9.42477796076938,0.4,sqrt,0.004666666500270367,0.005597289698370578
9.42477796076938,0.4,tan,0.013930916786193848,0.018567994668605682
9.42477796076938,0.4,exp,3.13459531753324e-05,1.7055637187896845e-05
